,id,installer_id,body,overall_rating,sent_score
28,29,20054,"We found Green Power Energy through Energy Sage, and they found us the best deal for going solar. They presented us various options between purchasing and leasing, in the end we went with a Solar Loan program through our utility, PSE&G, which allows us to break even on the system in only 4-5 years and own it. While designing our system they laid out various equipment choices and let us customize our system to fit our needs; we went with SolarEdge optimizers, a great technology to maximize power from every panel. The installers were thorough and friendly, explaining to us every step of process, taking photos of the work in progress, and once it was installed teaching us exactly how the system operates.

I would highly recommend working with Green Power Energy, they are not a huge company so they can really focus on their customers and each project they work on. They are great people to work with and will help you make a smart investment in clean energy for your home or business.",5,0.9231
29,30,1268,Do not hire fuelcellsolar  to install a solar system. Do not hire fuelcellsolar to do anything. Evan Esposito and all his various companies and names  ARE NOT LICENCED OR INSURED. I was scammed by Mr. Evan Esposito in December of 2013. He installed the system wrong and incomplete even though all the parts and materials were provided for him. Please take the time to do your research and check references and validate licenses and insurance information. It will save u more money than to trust a cheap con artist. All the info at www.fuelcellsolar.com  is fraudulent lies. Evan Esposito is also known as EE SOLAR.,1,-0.7184
30,31,20383,"Patt and I had our Solar PV system installed by Great Sky Solar. We were impressed by their knowledge, professionalism, and dedication to the mission of increasing our renewable energy supply. The team kept us apprised at every step of the process, and overcame the significant challenges of weather and the idiosyncracies of an older home to give us a system that is everything we had hoped for. I would recommend this team of inspired professionals to anyone considering a money-saving and planet-preserving photo-voltaic system.",5,0.6908
31,32,20383,Great company.  Staff was very professional and pleasant to work with. Would recommend !! 5 star.,5,0.6249
32,33,1951,These guys know what they are doing and they actually care about what they are doing.  The sales team actually went on my roof to layout the system before he gave me a bid.,5,0.4939
33,34,20532,"We had a 7 Kw system installed by Sunwire Energy after getting numerous quotes from other installers.  Ted really knows his stuff (and has great prices), and we was quite good about helping us through this process.  After giving us an estimate, we figured going with solar in general (and Ted specifically) made a lot of sense, as the pay-back period for my area is 4.5 years.  Also, the panels he used looked great and were made in America.",5,0.8676
34,35,20383,"Why I think Great Sky is a great company:
They were informative, supportive and responsive through out the entire process.
They were willing to show me the numbers in a couple of ways so that I could compare costs/benefits with other estimates easily.
As a worker owned company, each person was deeply invested in doing a good job and making the process work well for me.",5,0.9169
35,36,3250,"I enjoyed the entire process, from learning about solar through making a purchasing decision with Sungevity.  The sales folks were very patient with answering my questions about types of panels, factors to consider, and answering addtional questions as I compared offers with other offers on EnergySage.
The panels and system I got installed was not 'top of the line', in the end, but it will be reliable and cover greater than 80% of my electrical energy needs.  In addition, Sungevity has kept me informed and updated on progress, from initial applications through to turning on the system.

The installers were very polite, even though they were a subcontracted company, and they kept me informed of all activity.  The quality of the installation appears excellent.
A plan to add a case study as I collect additional data about my solar system.",5,0.6812
36,40,20009,They were great to work with!  I loved it when they brought me donuts!,5,0.6588
37,41,6270,"Excellent communications with installers.  Each of the 3 days it took for the installation, there was pre-work information on what was to be done that day and post-work, information on how the day went.  Installers all provided good information when asked.  Head installer seemed genuinely interested in making sure we understood how each step of the installation was done. Each of the 3 days it rained and was near-freezing but no complaints were issued!",5,0.6124
38,42,20613,"We strongly recommend this company.  From the initial bid, through installation, and after, EIS has been professional and responsive.  We had multiple bids and chose right.  They like what they do and they do it well.",5,0.5574
39,43,20613,"EIS installed our 4.32kW rooftop system in June, 2013. This was done after repeated meetings with couple of different installers and we finally chose EIS as we were extremely satisfied with their sales approach and, frankly, because EIS had done the solar installation at Phipps Conservatory. We could not imagine a better recommendation than that. EIS crews were extremely professional, friendly, clearly had extensive knowledge of both proper installation practices and solar energy in general. Entire staff, from top management to crew, were always available to answer questions, educate us, and check in with us repeatedly in the few months after completion of installation. Even now, if we have a question, we find that the response time either by email  or phone is quick and informative. We've had no problem with the system which has supplied all of our electrical needs for at least 6 months out of the year, and we would recommend EIS to anyone considering solar. In case you're wondering, we have NOT received any recompense in any way for this review. By the way, employment practices of companies with which we do business are important to us. We checked on this and management claimed (and crew agreed) that EIS (even though not union) pays well, provides good benefits, and worker retention is strong. When it comes to installation, that means something. ",5,0.8197
40,44,20613,"Ever since I purchased my home, I had been looking up on my south-facing roof and thinking ""I really should consider doing solar up there"". It was not until I met up with EIS at the Pittsburgh Home Show in 2014 that I explored the concept.  Right at the show using Google Earth they confirmed I had some good ""solar real estate"". Over the next month we communicated via email and their sales person, Ian Smith, provided me with a couple of preliminary options. I had Ian come out to the house where he went up on the roof and made several measurements.  Turns out we were able to have a 7.4 KW 27 panel array with microinverters (to address shading issues with my chimney) installed for less than what a new compact car would cost. I was sold on the spot and we toasted the deal with some of my homemade wine! At that point EIS took control and handled everything including the difficult permitting process. It could not have been easier.  They were very transparent and kept me abreast with everything going on. EIS had everything ready to go by mid April and their crew had the whole system installed, up and running, in a day and a half. It was a beautiful sunny day and my electric meter was spinning like crazy...backwards! My system has operated flawlessly ever since. Over the summer I banked 1400KW that I have been drawing down over the winter.  I believe that my entire electrical needs will be met, exactly as planned.  Bottom line: EIS is the best company to trust with your solar install.",5,0.8588
41,45,20613,"EIS installed a 10.8 kw ground mounted system in my back yard in September of 2014. Performs beautifully. Excellent contractor, Great work. A superb company to deal with that leaves no stone unturned. Hire them NOW!",5,0.8316
42,46,20613,"We had 55 solar panels on our roof in December. We have been most pleased with our purchase and the professionalism of the entire group at EIS. We live in southern Ohio and have some pretty nasty winters. This means our solar panels are often snow coverd. Even so, our electric bill dropped by one half!! Not bad for the first full month!",5,0.4927
43,47,20613,"Our system was installed in October 2014.  I am surprised at how much power it has produced so far given the time of year and occasional snow cover.  I can't wait until spring and summer to see what it can really do!

All EIS personnel we met were professional and knowledgeable.  They explained how to get our SREC credits, which was a bonus for us as I had no idea there existed this extra little stream of income from our system.  

On a nice sunny day, I love to go outside and watch the West Penn Power meter run backwards!  ",5,0.8777
44,48,20613,"As a single woman in her mid seventies and with no technical knowledge, I was intimidated by talk of kwatts and voltage.  Luckily, I found EIS. They were understanding, responsive, professional, and always available to answer every question.  I had 20 solar panels installed the first half of 2014. I was so pleased with the outcome that I had 6 additional panels installed in December.  If I can find anymore sunny space on my property, I will certainly expand again.  My experience with EIS is always a joy.",5,0.7579
45,49,20924,"We just had a second system installed by Solar Technologies and I'd give the 6 stars if I could!

We had our first system installed 3 years ago and everything from the financing to the installation and permitting was seamless. Truly, they make it effortless on the part of the home owner. We were so pleased with our system and have not had a single problem with it in 3 years.

Due to increased energy needs we decided to expand our system and just completed what I call ""Phase 2"" of our solar system. Both are ground mounts in a hilly location so they weren't the simplest of projects. 

Clint Biddle was the one we worked with and he was A+ from the initial presentation right through the completion of the project.

It is so rare to find a company that delivers exactly what they say they will for exactly the price they quote you with ZERO hassle.  I'd recommend them to anyone!",5,0.7184
46,50,20668,"My solar system was originally installed in 2010 by Egg Solar. 
The ratings below are associated
with work performed by CM Solar Electric this year, 2014. 
This year 2014 CM Solar Electric has taken over the care and maintenance for my system. 
I am very pleased with the service provided by CM Solar Electric. They are responsive, answer my phone calls and emails. 
The work they performed for me this past July 2014 was done as promised, on time and quality workmanship. All of their staff has been very professional and helpful to me as a solar system owner.",5,0.4939
47,51,20668,"
They completed the task (and it was more than just solar panels)we decided to go all energy efficient
electric, they replaced water heater, dryer and installed a whole house fan, all this and they corrected some bad wiring we had in 4 ceiling fans in one week! the inspector came out one day later and now we are just waiting for SDGE to put us on the grid, my neighbor who went with other company that is no cost to buyer and they become the power company for 20 years (that makes no sense at all!!)had his panels up right away weeks before us(so they couldn''t cancel) and they are still not commected and no inspector yet. CM workers worked on my project from sun up to sundown (litteraly it was dark outside and they needed flashlights!).
",5,0.4574
48,52,20668,"Yeah, I'm a founding member, but all of our members are founding members. We get tons of compliments from vendors, partners and most importantly- our customers!

I think we all deserve a great review, because we love what we do, and we do it well!

 Sincerely,

Manny Renteria",5,0.8932
49,53,20668,"this Company even though they are relatively small, we had our dough-ts about going solar with a small
company, but after we decided to go with CM electric solar we found out that the service this company offers and the quality of the employees and customer service personal was outstanding and very good, we had no problems with our installation and they made the complete posses very smooth and easy to undertake, we totally recommend this company if you want personal service from the actual owners of the company and the piece of mind that the system will be installed correctly the installers that showed up were very courteous and on time, the complete system was up and done in 2 days and we had the inspection pass the first time we totally recommend this company if you are going solar very attend to detail during and after the project was done",5,0.9732
50,54,20532,"SunWire Energy is a small business where the owner (Ted) is the primary point of contact for estimates, installation planning and follow-ups.  My priorities were high-quality components, careful work and a good-looking result.  I was very happy on all counts.  Ted went the extra mile to route all electrical conduit through my roof to inverters in my garage, so none of it is visible from the exterior.  He also took the time to address the many questions that I had. The components he picked have worked flawlessly and the electrical work was very tidy.

SunWire also was persistent in following up with my electrical utility to get approvals as they were consistently sluggish in responding. Ted was generally realistic in estimating schedules, although SunWire works rather methodically and carefully, so the schedule was not the first priority and that was OK with me.",5,0.6115
51,55,20364,Everything went exactly according to Solora's prediction and timeline. Our system has been running for over a year and generated the maximum $5000 incentive from the state. I would highly recommend Solora Solar to anyone interested in a PV system. ,5,0.6697
52,56,20161,"I am thrilled with the solar PV installation on the roof of my rowhouse in Chestnut Hill.  Anil Babooran, principal of Sumintra, is extremely knowledgeable, energetic, thorough and extremely conscientious.  He was able to advise on all available rebates and stays in touch to make sure all continues to work well.",5,0.5267
53,57,20613,"Very satisfied with EIS Solar's professional approach to the technical and financial analysis of our solar installation.  EIS documented our home's capacity for solar power generation, analyzed alternative installations with their respective payback periods and provided guidance with respect to the specifics of equipment selection.  The installation of 39 panels was completed within two days, tailored to our roof conditions.  The installation team was professional in their work and in their respect for our home.  While the equipment functions on its own, we were briefed on the controls and our ability to monitor the system's performance.  All of the system building department permitting, utility permitting and subsequent registration of our system for the sale of solar energy credits was performed by EIS.  We would not hesitate to recommend EIS to others. ",5,0.7096
54,58,20663,"1. I was able to meet with the installer, discuss the pros and cons of the system they were suggesting and understand why they suggested a 1. specific system
2. They installed the system exactly when they said they would.
3. The came back to fix a cosmetic installation problem.
4. I had a very pleasant experience and interaction
5. The installation was professionally done, within the quoted time and with the quality I was expecting.  

I would recommend Day One Solar to anybody anytime, not one complaint.
",5,0.5563
55,59,20122,"If you ever wondered how your solar system is doing on a daily basis, the Solar Edge monitoring dashboard will provide you with that information.   Once you connect you local Solar Edge controller to your LAN, the system will report operational data to the Solar Edge ""cloud"".  You can then connect to the remote web interface and get data in graphical format on your daily, weekly, monthly and yearly energy production, you can compare it month to month, quarter to quarter or year to year

Another nice feature is the ability to see how each one of the installed panels is performing and compare them one to another.  Should any of the panels develop a problem, you will notice is on the dashboard and alert your installer to it.

The configuration is very easy, requires you to provide just the normal IP information to the controller, everything else (connection to the ""cloud"" and reporting) is automatic and behind the scenes.  I started seeing data within about 10 minutes of completing the connection.

I love the ease of use and the simplicity of the installation.",5,0.7717
56,60,20161,"Amil did a fantastic job installing my solar panels.  He took extra care to get things exactly right, which really impressed people who are knowledgeable about construction.  He was consistently responsible, reliable, and professional.  He completed the job well within the expected time, and he checked in with me after the installation to make sure there were no problems.  I'm sure he would have come out if I had any complaints, but I didn't--he did it right the first time!  
He not only does great work, but he is friendly and pleasant to work with.  His prices were also extremely fair.  ",5,0.8226
57,61,20613,"I met with 5 different solar energy consultants before going solar.  The first was at a Home Depot Solar Workshop.  The 2nd solar consultant quoted a price of $10.00 per watt.  There was contractor #3 & #4.  But #5 was the best.  He was the only one to actually get on my steep roof and take measurements.  And when the price came in at $5.00 per watt, I was sold.  That solar consultants company left town about one year later and now he works for EIS.  EIS installed my 2nd solar system, an 11KW ground mount array at a cost of $4.00 watt and they did an excellent job.  I know a number of solar homeowners who are satisfied EIS customers and if you check out their website you can see that they have completed an impressive number of solar installations.  So yes I am biased toward EIS Solar and jealous of you because today you might even get a lower price per watt than I did.",5,0.7717
58,62,20161,"Anil was the second installer to give us a plan for a complete roof mounted solar array and hot water system, and the difference between him and his competitor was apparent from our first meeting. He explained all the factors that influenced the plan, showed us the cool device that maps the sun exposure, but most important, figured out a way to get extra panels onto the roof by moving the hot water tubes to the far side of the roof, but mounting them above it, increasing our kw by about 10%. His approach to the installation itself was equally as focused on quality. When he had a choice, he always took the way that might have required more effort on his part, but that resulted in a better outcome. Plus, his installation was very neat and workmanlike, and he gave us all the supporting paperwork for reference. Last, whenever we have a question, he responds immediately. We cannot recommend him HIGHLY enough!",5,0.7346
59,63,20021,"We had a great experience with Solar Energy World - everything from their very knowledgeable Solar Consultant, Pat O'Brien, to their expert installers.  They were fast, efficient, helpful, knowledgeable, and responsive to our needs and questions.  The cleaned up afterward so that you couldn't tell they had been there - except for the awesome solar panels on our roof!  They took care of the paperwork and made sure our system was running correctly.  We are enjoying our FREE electricity - low monthly electric bills, and very nice SREC checks every few months that cover what we have spent on electricity!  The best part is that we are helping the environment.  Highly recommend Solar Energy World.  They stand by their product and services.  Very friendly, reliable team to work with.",5,0.8663
60,64,6515,"I contacted several solar install firms to investigate solar power for my home. Few even had the professional dedication to respond.  Most were outrageously priced. Frankly, it is hard to find a decent guide on what to even ask about this market.  Lease? Buy? Is it KWh or kwh? Is that rated for AC or DC? And wtf is net metering? Frankly, I was a bit lost (and I'm probably not alone). 

I spoke with 5 different firms and found only one, Circular Energy, that was able to not only answer the questions, but also help educate me so I could ask even more questions.  Their sales person, Walter Rumpf, was simply great to deal with.  

The Dallas crew was just getting integrated into Circular.  It wasn't a perfect process (no big investment ever really seems to be), but Walter and Kelsey were there to streamline, clean up, and help herd the cats so we could get the project complete.  

Was the investment worthwhile?  Yes.  
Do I notice a sizable difference on my bill?  Yes.  
Do I wish I bought a bigger system? Definitely.  
Is the real-time system monitoring the coolest thing ever?  Geek nirvana. ",5,0.727
61,65,20613,"My 20 panel roof- mounted installation was completed in December 2013. Since then I have recommended EIS to many people. All the people I dealt with from sales through completion were personable and professional and not only knowledgeable but able to explain the technology to newbies like me. I had many questions throughout the process and felt all were clearly  answered.  I continue to be well satisfied with EIS and very happy to have made this investment.    
   ",5,0.8357
62,66,20161,Sumintra LLC installed both my solar electric system and solar hot water system for our home in Chester County. Anil is a highly professional and approachable engineer. He is both conscientious and efficient. He can also be counted on to follow up on the project if you have any questions. His prices are fair and his work is excellent. I highly recommend him. ,5,0.7184
63,67,566,"The Sunlight solar team were very knowledgeable and provided us with options to help us achieve our goal. Once the project was underway, Sunlight's team were responsive, professional, and always on schedule. There were no surprises and they continue to monitor our system and help guide us through the elements of working with the utility company.",5,0.4019
64,68,20613,"In September of 2013, EIS completed our solar installation at the Millvale Community Library.  We have found their staff to be personal, professional, knowledgeable, and flexible.  So much that we are doing two more installations with them in the spring of 2015, and hopefully many more in the years to come!",5,0.4574
65,69,566,The associates at Sunlight Solar are very informative of the process associated with going solar and did a fantastic job of guiding us through it.  Everyone I've worked with is courteous and they met or preceded every scheduled dead line.,5,0.5574
66,70,20161,"I met Anil a few years before there were state and federal financial benefits. After a brief explanation to let me know what was involved to install solar at my home, he suggested I wait a few years so that I could benefit from rebates and federal tax exemptions that he thought were coming. I was surprised that he basically was open for business but considerate of the best financial solution for me. He was willing to walk away from business at that time, in order for me to wait for a better time for me. 

For him, with or without state and federal benefits for me, he would still do the same work and earn the same money. In fact, to take advantage of the state and federal benefits, required him to do more work and fill out more paperwork to benefit me. So years before I actually did the install, Anil earned my great respect.

When I finally contracted with Anil to install my 10K system a few years later, he explained the process in fine detail which I appreciated. He did what he said he would do, and kept me informed every step of the way. The day my children and I turned the solar 'on' was a very exciting day for all of us. Anil comes back every now again to see how things are running (and they are running well) and to inspect the panels. His contract also guaranteed more years of his personal service compared to other solar contractors. 

It is clear to me that Anil's passion and expertise for solar renewable energy is matched by his thoughtfulness, conscientiousness, and integrity. I would highly recommend Anil. ",5,0.9331
67,71,20161,We received excellent customer service and quality craftsmanship. Our solar panels are still in outstanding working condition and we are so pleased with the money we have been able to save with them.,5,0.8988
68,72,20931,"I appreciate how PEG worked with me to design and lay out my system.  Their installation work was first rate.  Their pricing was very competitive.  Joe is a great guy to work with.  I looked around before I purchased, and no where else did I find this degree of expertise, flexibility, and pricing under one roof.  I recommend this company very highly. ",5,0.6249
69,73,20931,"Joe @ P.E.G. is a consumate pro, an honest guy and extremely knowledgeable about solar and solar installations.   From the first talk, to the quotes, to the installation and post-installation follow-ups, we were both impressed and happy with the quality and value of our solar installation (50 panels) from P.E.G.    Our panels have been working for about year now and have had zero issues, though I'm 100% confident that if we did have any issues, Joe would be on it to get anything resolved right away.

I have no hesitation in recommending P.E.G. as a solar installer, and would use them again if and when we decide to add more panels to our house.",5,0.8481
